trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.5, 'e': 0.7849999999999998}",20,0,-48.47996410694775,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,9,-80.34206436182389,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 2}",1
45,False,"{'a': 0.5, 'e': 0.7749999999999998}",20,5,-25.59158807430615,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.7699999999999998}",25,0,-151.59292525419193,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.7649999999999998}",20,0,-46.51894295456892,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.7599999999999998}",25,0,-83.95604355652374,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.7549999999999998}",25,0,-172.3221554551493,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,15,6.676180107007341,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.7449999999999998}",25,0,-140.57532011666376,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.7399999999999998}",25,0,-85.55250243523103,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.7349999999999998}",25,0,-251.21676091200658,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 5}",0
54,False,"{'a': 0.5, 'e': 0.7299999999999998}",35,0,-222.29751265118742,"{0: 25, 1: 0, 2: 4, 3: 1, 4: 5}",0
55,False,"{'a': 0.5, 'e': 0.7249999999999998}",20,2,-48.18679900325875,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 1}",1
56,False,"{'a': 0.5, 'e': 0.7199999999999998}",25,0,-89.66623326105496,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.7149999999999997}",25,0,-106.16032229515983,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.7099999999999997}",25,3,-79.6847639355325,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 1}",1
59,False,"{'a': 0.5, 'e': 0.7049999999999997}",30,0,-76.24216657730683,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-79.3796106467416,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.6949999999999997}",30,0,-193.06528669913973,"{0: 17, 1: 5, 2: 3, 3: 2, 4: 3}",0
62,False,"{'a': 0.5, 'e': 0.6899999999999997}",30,0,-53.17315599295427,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.6849999999999997}",25,14,-24.529498831236474,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.6799999999999997}",25,0,-114.41542972070297,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.6749999999999997}",35,0,-206.7796377529852,"{0: 21, 1: 3, 2: 7, 3: 1, 4: 3}",0
66,False,"{'a': 0.5, 'e': 0.6699999999999997}",20,0,-47.44454955094313,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.6649999999999997}",25,0,-44.430991379104576,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.6599999999999997}",25,5,-53.9916497509046,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
69,False,"{'a': 0.5, 'e': 0.6549999999999997}",20,0,-206.57541500885543,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 4}",0
70,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-142.58913488222427,"{0: 10, 1: 1, 2: 5, 3: 3, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.6449999999999997}",25,2,-163.20448150937105,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 3}",1
72,False,"{'a': 0.5, 'e': 0.6399999999999997}",30,4,-115.48335103284863,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 3}",1
73,False,"{'a': 0.5, 'e': 0.6349999999999997}",20,0,4.633458241768067,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.6299999999999997}",20,8,-6.197123211231282,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.6249999999999997}",20,0,-91.68311396151621,"{0: 13, 1: 5, 2: 0, 3: 0, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.6199999999999997}",20,1,-16.834807426653608,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.6149999999999997}",30,4,-73.75790859204129,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 1}",1
78,False,"{'a': 0.5, 'e': 0.6099999999999997}",30,13,11.348712950568329,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.6049999999999996}",30,18,-38.06048509864559,"{0: 7, 1: 2, 2: 2, 3: 1, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-56.59690260982775,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.5949999999999996}",20,0,-19.859065152591945,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.5899999999999996}",30,18,-75.97578635669332,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 2}",1
83,False,"{'a': 0.5, 'e': 0.5849999999999996}",30,0,-74.13431049194081,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.5799999999999996}",25,0,-15.915846248835024,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.5749999999999996}",20,3,-95.41207616409162,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 2}",1
86,False,"{'a': 0.5, 'e': 0.5699999999999996}",25,0,-109.59854091561266,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 3}",0
87,False,"{'a': 0.5, 'e': 0.5649999999999996}",30,6,-61.61668480611144,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 1}",1
88,False,"{'a': 0.5, 'e': 0.5599999999999996}",20,0,-91.65073735705145,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
89,False,"{'a': 0.5, 'e': 0.5549999999999996}",25,14,-24.58863460466067,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,7,-43.20846842537158,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 1}",1
91,False,"{'a': 0.5, 'e': 0.5449999999999996}",20,0,-134.4830056887981,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
92,False,"{'a': 0.5, 'e': 0.5399999999999996}",20,0,-93.63217948334652,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
